Category: All categories

Month,Earthquake: (Worldwide)
2010-01,26
2010-02,17
2010-03,28
2010-04,21
2010-05,10
2010-06,10
2010-07,7
2010-08,6
2010-09,9
2010-10,8
2010-11,7
2010-12,5
2011-01,7
2011-02,12
2011-03,73
2011-04,23
2011-05,18
2011-06,10
2011-07,10
2011-08,19
2011-09,12
2011-10,13
2011-11,11
2011-12,9
2012-01,14
2012-02,11
2012-03,14
2012-04,14
2012-05,19
2012-06,16
2012-07,8
2012-08,11
2012-09,10
2012-10,11
2012-11,9
2012-12,10
2013-01,8
2013-02,9
2013-03,6
2013-04,12
2013-05,7
2013-06,7
2013-07,6
2013-08,8
2013-09,8
2013-10,9
2013-11,8
2013-12,7
2014-01,7
2014-02,6
2014-03,11
2014-04,13
2014-05,11
2014-06,6
2014-07,6
2014-08,10
2014-09,7
2014-10,6
2014-11,7
2014-12,6
2015-01,6
2015-02,7
2015-03,6
2015-04,18
2015-05,18
2015-06,9
2015-07,8
2015-08,7
2015-09,12
2015-10,9
2015-11,9
2015-12,7
2016-01,8
2016-02,8
2016-03,6
2016-04,24
2016-05,11
2016-06,9
2016-07,7
2016-08,18
2016-09,12
2016-10,17
2016-11,18
2016-12,11
2017-01,9
2017-02,10
2017-03,7
2017-04,9
2017-05,7
2017-06,10
2017-07,10
2017-08,10
2017-09,30
2017-10,9
2017-11,13
2017-12,12
2018-01,12
2018-02,11
2018-03,6
2018-04,9
2018-05,9
2018-06,12
2018-07,8
2018-08,15
2018-09,14
2018-10,13
2018-11,9
2018-12,9
2019-01,10
2019-02,9
2019-03,8
2019-04,9
2019-05,9
2019-06,10
2019-07,20
2019-08,10
2019-09,14
2019-10,10
2019-11,12
2019-12,9
2020-01,23
2020-02,13
2020-03,12
2020-04,12
2020-05,11
2020-06,12
2020-07,8
2020-08,8
2020-09,10
2020-10,12
2020-11,11
2020-12,13
2021-01,11
2021-02,13
2021-03,10
2021-04,9
2021-05,7
2021-06,7
2021-07,7
2021-08,8
2021-09,11
2021-10,10
2021-11,9
2021-12,9
2022-01,10
2022-02,9
2022-03,12
2022-04,8
2022-05,8
2022-06,8
2022-07,7
2022-08,7
2022-09,14
2022-10,9
2022-11,18
2022-12,11
2023-01,10
2023-02,100
2023-03,34
